CZ_FIPS_OUT,CZ_Fips_Str,CZ_FIPS_str,COUNTY_NAME,Winter,Flood,Surf,Storm,Drought,Heat,Wildfire,CheckTotal
1,001,001,Alameda,3.75,68.00,0.25,79.67,0.00,2.58,2.83,157.08
3,003,003,Alpine,49.33,3.00,0.00,23.81,1.11,0.00,1.97,79.22
5,005,005,Amador,23.53,2.00,0.00,9.76,11.11,2.43,2.42,51.25
7,007,007,Butte,17.73,24.00,0.17,25.23,2.03,1.83,2.07,73.07
9,009,009,Calaveras,22.82,3.00,0.00,5.47,8.54,1.14,2.14,43.11
11,011,011,Colusa,8.33,2.00,0.17,6.50,7.83,2.67,5.17,32.67
13,013,013,Contra Costa,3.75,31.00,0.25,75.67,0.00,2.58,2.83,116.08
15,015,015,Del Norte,15.00,4.00,1.00,24.00,0.00,0.00,0.00,44.00
17,017,017,El Dorado,52.33,22.00,0.00,126.81,6.11,1.43,2.97,211.65
19,019,019,Fresno,252.50,95.00,0.00,125.17,57.17,12.00,21.00,562.83
21,021,021,Glenn,5.33,6.00,0.17,13.50,3.33,1.67,1.17,31.17
23,023,023,Humboldt,68.00,3.00,2.00,67.00,0.00,0.00,0.00,140.00
25,025,025,Imperial,7.00,18.00,0.00,43.00,13.00,2.00,0.00,83.00
27,027,027,Inyo,66.00,131.00,0.00,200.00,5.00,14.00,3.00,419.00
29,029,029,Kern,331.50,150.00,0.00,479.00,164.00,51.00,24.00,"1,199.50"
31,031,031,Kings,123.00,12.00,0.00,39.50,24.00,6.00,0.00,204.50
33,033,033,Lake,3.00,6.00,0.00,2.00,4.50,1.00,4.00,20.50
35,035,035,Lassen,35.40,5.00,0.00,41.07,0.53,0.00,0.40,82.40
37,037,037,Los Angeles,27.00,72.00,4.00,218.00,0.00,0.00,18.00,339.00
39,039,039,Madera,166.00,30.00,0.00,42.67,37.67,6.00,19.00,301.33
41,041,041,Marin,2.33,55.50,5.50,64.33,0.00,1.17,6.00,134.83
43,043,043,Mariposa,74.00,51.00,0.00,54.00,24.67,2.00,19.00,224.67
45,045,045,Mendocino,42.00,7.00,0.00,21.00,0.00,0.00,1.00,71.00
47,047,047,Merced,178.50,34.00,0.00,38.17,32.50,10.00,2.00,295.17
49,049,049,Modoc,70.00,5.00,0.00,54.50,0.00,1.50,15.50,146.50
51,051,051,Mono,71.00,21.00,0.00,76.00,0.00,0.00,4.00,172.00
53,053,053,Monterey,5.00,57.00,17.00,78.00,0.00,0.50,5.00,162.50
55,055,055,Napa,2.33,27.00,0.00,55.33,0.00,0.67,5.00,90.33
57,057,057,Nevada,51.95,16.00,0.17,47.02,6.37,1.31,3.35,126.17
59,059,059,Orange,37.17,31.00,33.50,67.17,11.00,10.50,3.67,194.00
61,061,061,Placer,52.33,14.00,0.00,54.81,6.11,1.43,2.97,131.65
63,063,063,Plumas,35.40,12.00,0.00,52.07,0.53,0.00,0.40,100.40
65,065,065,Riverside,29.67,159.00,0.00,259.67,48.00,23.50,27.67,547.50
67,067,067,Sacramento,1.05,34.00,0.00,25.62,7.24,1.95,2.29,72.14
69,069,069,San Benito,1.00,12.00,0.00,15.00,0.00,0.50,0.00,28.50
71,071,071,San Bernardino,68.00,422.00,1.00,389.00,48.00,11.50,34.00,973.50
73,073,073,San Diego,123.67,159.00,69.00,289.67,55.00,41.00,26.67,764.00
75,075,075,San Francisco,1.00,46.00,11.00,48.00,0.00,2.00,2.00,110.00
77,077,077,San Joaquin,1.53,3.00,0.00,11.53,9.67,1.67,2.20,29.60
79,079,079,San Luis Obispo,0.00,3.00,1.00,12.00,0.00,0.00,4.00,20.00
81,081,081,San Mateo,2.75,48.50,7.25,74.00,0.00,1.58,1.83,135.92
83,083,083,Santa Barbara,4.00,13.00,1.00,69.00,0.00,0.00,16.00,103.00
85,085,085,Santa Clara,5.75,105.00,0.25,122.67,0.00,2.92,4.17,240.75
87,087,087,Santa Cruz,2.00,62.50,17.00,118.00,0.00,1.33,1.33,202.17
89,089,089,Shasta,87.90,10.00,0.00,70.23,13.20,6.17,9.90,197.40
91,091,091,Sierra,40.33,3.00,0.00,33.22,1.44,0.00,1.22,79.22
93,093,093,Siskiyou,286.00,13.00,0.00,85.50,0.00,5.50,38.50,428.50
95,095,095,Solano,1.05,2.00,0.00,10.62,7.24,1.95,2.29,25.14
97,097,097,Sonoma,2.33,144.50,5.50,83.33,0.00,1.17,6.00,242.83
99,099,099,Stanislaus,1.20,0.00,0.00,12.20,5.00,1.00,0.20,19.60
101,101,101,Sutter,1.05,0.00,0.17,12.79,4.40,2.45,0.95,21.81
103,103,103,Tehama,26.90,20.00,0.00,28.23,10.20,4.17,3.90,93.40
105,105,105,Trinity,69.00,0.00,1.00,9.00,0.00,0.00,0.00,79.00
107,107,107,Tulare,239.50,53.00,0.00,72.50,98.00,11.00,25.00,499.00
109,109,109,Tuolumne,22.82,8.00,0.00,19.47,8.54,1.14,2.14,62.11
111,111,111,Ventura,22.00,21.00,1.00,102.00,0.00,0.00,13.00,159.00
113,113,113,Yolo,0.71,3.00,0.00,6.29,2.57,1.29,0.29,14.14
115,115,115,Yuba,21.95,2.00,0.17,13.77,5.37,1.31,2.60,47.17